CPUID:,0x906ED
Processor:,Intel Core i7 9700K (Coffee Lake)
Platform:,LGA 1151 (Socket H4)
Revision:,R0
Lithography:,14nm

Session start:,22:14:57 - November 02 - 2020

Time,Core 0 Temp. (�),Core 1 Temp. (�),Core 2 Temp. (�),Core 3 Temp. (�),Core 4 Temp. (�),Core 5 Temp. (�),Core 6 Temp. (�),Core 7 Temp. (�),,Core 0,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 1,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 2,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 3,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 4,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 5,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 6,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 7,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),CPU 0 Power,
22:25:37 11/02/20,33,31,31,30,32,30,31,30,,,30,56,4,3094.70,,30,57,7,3094.70,,30,62,9,3094.70,,28,56,5,3094.70,,30,57,7,3094.70,,28,55,5,3094.70,,29,56,4,3094.70,,28,58,10,3094.70,11.6,
22:25:47 11/02/20,32,31,31,30,31,29,30,29,,,30,56,9,1297.78,,30,57,20,1297.78,,30,62,19,1297.78,,28,56,11,1297.78,,30,57,6,1297.78,,28,55,5,1297.78,,29,56,6,1297.78,,28,58,9,1297.78,7.7,
22:25:57 11/02/20,31,31,31,29,31,30,29,29,,,30,56,18,2495.73,,30,57,28,2495.73,,30,62,18,2495.73,,28,56,15,2495.73,,30,57,9,2495.73,,28,55,7,2495.73,,29,56,7,2495.73,,28,58,9,2495.73,5.5,
22:26:07 11/02/20,31,31,30,29,31,29,29,29,,,30,56,8,1697.09,,30,57,10,1697.09,,30,62,8,1697.09,,28,56,6,1697.09,,30,57,8,1697.09,,28,55,2,1697.09,,29,56,2,1697.09,,28,58,13,1697.09,5.2,
22:26:17 11/02/20,34,32,32,31,33,31,31,31,,,30,56,12,4292.65,,30,57,20,4292.65,,30,62,23,4292.65,,28,56,22,4292.65,,30,57,8,4292.65,,28,55,12,4292.65,,29,56,7,4292.65,,28,58,18,4292.65,8.7,
22:26:27 11/02/20,33,32,32,30,31,30,31,30,,,30,56,9,3494.02,,30,57,15,3494.02,,30,62,12,3494.02,,28,56,11,3494.02,,30,57,14,3494.02,,28,55,6,3494.02,,29,56,6,3494.02,,28,58,7,3494.02,10.0,
22:26:37 11/02/20,36,34,35,33,34,33,34,33,,,30,56,2,3993.16,,30,57,5,3993.16,,30,62,5,3993.16,,28,56,2,3993.16,,30,57,2,3993.16,,28,55,56,3993.16,,29,56,34,3993.16,,28,58,3,3993.16,34.5,
22:26:47 11/02/20,37,38,37,35,37,35,35,43,,,30,56,13,4492.31,,30,57,8,4592.13,,30,62,16,4592.13,,28,56,22,4592.13,,30,57,11,4592.13,,28,55,21,4592.13,,29,56,5,4592.13,,28,58,27,4592.13,34.5,
22:26:57 11/02/20,49,39,40,38,40,38,38,37,,,30,56,13,4592.13,,30,57,9,4592.13,,30,62,37,4592.13,,28,56,20,4592.13,,30,57,7,4592.13,,28,55,5,4592.13,,29,56,15,4592.13,,28,58,29,4592.13,38.7,
22:27:07 11/02/20,41,38,40,37,43,36,36,35,,,30,56,12,4592.13,,30,57,41,4592.13,,30,62,10,4592.13,,28,56,21,4592.13,,30,57,13,4592.13,,28,55,18,4592.13,,29,56,7,4592.13,,28,58,4,4592.13,32.5,
22:27:17 11/02/20,44,37,39,38,40,37,36,35,,,30,56,16,4592.13,,30,57,38,4592.13,,30,62,5,4592.13,,28,56,12,4592.13,,30,57,19,4592.13,,28,55,2,4592.13,,29,56,2,4592.13,,28,58,5,4592.13,30.4,
22:27:27 11/02/20,43,37,37,35,38,35,47,36,,,30,56,17,4592.13,,30,57,25,4592.13,,30,62,10,4592.13,,28,56,12,4592.13,,30,57,20,4592.13,,28,55,4,4592.13,,29,56,17,4592.13,,28,58,17,4592.13,18.5,
22:27:37 11/02/20,36,35,36,34,35,34,34,33,,,30,56,10,798.63,,30,57,21,798.63,,30,62,18,798.63,,28,56,17,798.63,,30,57,17,798.63,,28,55,11,798.63,,29,56,1,798.63,,28,58,6,798.63,30.4,
22:27:47 11/02/20,35,35,35,33,35,34,34,33,,,30,56,6,798.63,,30,57,13,798.63,,30,62,12,798.63,,28,56,6,798.63,,30,57,4,798.63,,28,55,1,798.63,,29,56,4,798.63,,28,58,6,798.63,8.6,
22:27:57 11/02/20,35,35,35,34,34,32,33,33,,,30,56,14,798.63,,30,57,32,798.63,,30,62,14,798.63,,28,56,14,798.63,,30,57,8,798.63,,28,55,5,798.63,,29,56,3,798.63,,28,58,8,798.63,14.7,
22:28:07 11/02/20,36,35,35,33,34,34,33,33,,,30,56,13,798.63,,30,57,32,1197.95,,30,62,22,1197.95,,28,56,8,1197.95,,30,57,7,1197.95,,28,55,13,1197.95,,29,56,5,1197.95,,28,58,8,1197.95,14.1,
22:28:17 11/02/20,46,49,49,45,49,46,46,46,,,30,56,11,4492.31,,30,57,27,4492.31,,30,62,15,4492.31,,28,56,8,4492.31,,30,57,22,4492.31,,28,55,6,4492.31,,29,56,5,4492.31,,28,58,6,4492.31,6.3,
22:28:27 11/02/20,36,36,37,34,36,33,33,33,,,30,56,5,4592.13,,30,57,27,4592.13,,30,62,11,4592.13,,28,56,5,4592.13,,30,57,16,4592.13,,28,55,3,4592.13,,29,56,3,4592.13,,28,58,11,4592.13,21.9,
22:28:37 11/02/20,38,45,40,36,36,43,36,38,,,30,56,10,4492.31,,30,57,31,4592.13,,30,62,8,4592.13,,28,56,7,4592.13,,30,58,5,4592.13,,28,56,11,4592.13,,29,56,4,4592.13,,28,58,5,4592.13,8.5,
